Orgs,,label
bureau of civil aviation security,Bureau of Civil Aviation Security,0
indian card clothing co. ,INDIAN CARD CLOTHING CO. ,1
apex frozen foods limited,APEX FROZEN FOODS LIMITED,1
ministry of statistics and programme implementation,Ministry of Statistics and Programme Implementation,0
allcargo logistics ltd   ,ALLCARGO LOGISTICS LTD   ,1
equitas holdings limited ,EQUITAS HOLDINGS LIMITED ,1
prakash steelage ltd     ,PRAKASH STEELAGE LTD     ,1
snowman logistics ltd.   ,SNOWMAN LOGISTICS LTD.   ,1
sml isuzu limited        ,SML ISUZU LIMITED        ,1
global centre for nuclear energy partnership,Global Centre for Nuclear Energy Partnership,0
appellate tribunal for electricity,Appellate Tribunal for Electricity,0
centre for social forestry and eco-rehabilitation,Centre for Social Forestry and Eco-Rehabilitation,0
icici lombard gic limited,ICICI LOMBARD GIC LIMITED,1
cesc ventures limited    ,CESC VENTURES LIMITED    ,1
ivp ltd                  ,IVP LTD                  ,1
zenith birla (india) ltd ,ZENITH BIRLA (INDIA) LTD ,1
til ltd                  ,TIL LTD                  ,1
ministry of labour and employment,Ministry of Labour and Employment,0
export promotion council for handicrafts (epch),Export Promotion Council for Handicrafts (EPCH),0
zenith exports ltd       ,ZENITH EXPORTS LTD       ,1
union public service commission (upsc),Union Public Service Commission (UPSC),0
agc networks limited     ,AGC NETWORKS LIMITED     ,1
whirlpool of india ltd   ,WHIRLPOOL OF INDIA LTD   ,1
mahanagar telephone nigam,MAHANAGAR TELEPHONE NIGAM,1
jmt auto limited         ,JMT AUTO LIMITED         ,1
ducon infratechnologies l,DUCON INFRATECHNOLOGIES L,1
department of jammu and kashmir and laddak affairs,Department of Jammu and Kashmir and Laddak Affairs,0
national council of educational research and training (ncert),National Council of Educational Research and Training (NCERT),0
tv today network ltd     ,TV TODAY NETWORK LTD     ,1
nelcast limited          ,NELCAST LIMITED          ,1
central organisation for railway electrification (core),Central Organisation for Railway Electrification (CORE),0
airports economic regulatory authority,Airports Economic Regulatory Authority,0
swimming federation of india,Swimming Federation of India,0
"physical research laboratory (prl), ahmedabad.","Physical Research Laboratory (PRL), Ahmedabad.",0
axis bank limited        ,AXIS BANK LIMITED        ,1
kothari sug & chem ltd.  ,KOTHARI SUG & CHEM LTD.  ,1
soma textiles & indust lt,SOMA TEXTILES & INDUST LT,1
dhampur sugar mills ltd. ,DHAMPUR SUGAR MILLS LTD. ,1
sujana uni. inds. ltd.   ,SUJANA UNI. INDS. LTD.   ,1
syngene international ltd,SYNGENE INTERNATIONAL LTD,1
cyber appellate tribunal,Cyber Appellate Tribunal,0
thiru arooran sugars ltd.,THIRU AROORAN SUGARS LTD.,1
idbi bank limited        ,IDBI BANK LIMITED        ,1
dedicated freight corridor corporation of india (public sector undertaking),Dedicated Freight Corridor Corporation of India (public sector undertaking),0
intellect design arena   ,INTELLECT DESIGN ARENA   ,1
viji finance limited     ,VIJI FINANCE LIMITED     ,1
zuari global limited     ,ZUARI GLOBAL LIMITED     ,1
jik industries ltd       ,JIK INDUSTRIES LTD       ,1
il&fs investment managers,IL&FS INVESTMENT MANAGERS,1
national film archive of india (nfai),National Film Archive of India (NFAI),0
rehabilitation council of india,Rehabilitation Council of India,0
kendriya sainik board (ksb),Kendriya Sainik Board (KSB),0
bharat bijlee ltd        ,BHARAT BIJLEE LTD        ,1
arid forest research institute,Arid Forest Research Institute,0
saksoft limited          ,SAKSOFT LIMITED          ,1
central industrial security force,Central Industrial Security Force,0
rail vikas nigam (public sector undertaking),Rail Vikas Nigam (public sector undertaking),0
inter-service organisations,Inter-Service Organisations,0
department of telecommunications,Department of Telecommunications,0
,,0
rossell india limited    ,ROSSELL INDIA LIMITED    ,1
godawari pow & isp ltd   ,GODAWARI POW & ISP LTD   ,1
tree house edu ltd       ,TREE HOUSE EDU LTD       ,1
consumer online resource and empowerment centre (core),Consumer Online Resource and Empowerment Centre (CORE),0
kei industries ltd.      ,KEI INDUSTRIES LTD.      ,1
provogue (india) limited ,PROVOGUE (INDIA) LIMITED ,1
california software co lt,CALIFORNIA SOFTWARE CO LT,1
ind motor part & acc ltd ,IND MOTOR PART & ACC LTD ,1
sun pharma adv.res.co.ltd,SUN PHARMA ADV.RES.CO.LTD,1
swaraj engines ltd       ,SWARAJ ENGINES LTD       ,1
ministry of new and renewable energy,Ministry of New and Renewable Energy,0
vedanta limited          ,VEDANTA LIMITED          ,1
software technology parks of india (stpi),Software Technology Parks of India (STPI),0
blue blends (i) ltd      ,BLUE BLENDS (I) LTD      ,1
ind-swift limited        ,IND-SWIFT LIMITED        ,1
deccan cements limited   ,DECCAN CEMENTS LIMITED   ,1
national security guard,National Security Guard,0
veto switchgear cable ltd,VETO SWITCHGEAR CABLE LTD,1
punjab & sind bank       ,PUNJAB & SIND BANK       ,1
rushil decor limited     ,RUSHIL DECOR LIMITED     ,1
departments,Departments,0
jk cement limited        ,JK CEMENT LIMITED        ,1
united spirits limited   ,UNITED SPIRITS LIMITED   ,1
onelife cap advisors ltd ,ONELIFE CAP ADVISORS LTD ,1
centrum capital limited  ,CENTRUM CAPITAL LIMITED  ,1
ministry of corporate affairs,Ministry of Corporate Affairs,0
grp limited              ,GRP LIMITED              ,1
tata global beverages ltd,TATA GLOBAL BEVERAGES LTD,1
kirloskar brothers ltd   ,KIRLOSKAR BROTHERS LTD   ,1
prozone intu proprtis ltd,PROZONE INTU PROPRTIS LTD,1
vinati organics ltd      ,VINATI ORGANICS LTD      ,1
inter-state council,Inter-State Council,0
hercules hoi. ltd.       ,HERCULES HOI. LTD.       ,1
khaitan electricals ltd  ,KHAITAN ELECTRICALS LTD  ,1
jyoti structures ltd     ,JYOTI STRUCTURES LTD     ,1
ttk healthcare limited   ,TTK HEALTHCARE LIMITED   ,1
export credit guarantee corporation of india (ecgc),Export Credit Guarantee Corporation of India (ECGC),0
high ground entp ltd     ,HIGH GROUND ENTP LTD     ,1
directorate of sugar,Directorate of Sugar,0
"forest survey of india (fsi), dehradun","Forest Survey of India (FSI), Dehradun",0
neueon towers limited    ,NEUEON TOWERS LIMITED    ,1
"technology information, forecasting and assessment council (tifac)*","Technology Information, Forecasting and Assessment Council (TIFAC)*",0
national sugar institute,National Sugar Institute,0
coir board,Coir Board,0
pawan hans helicopters ltd.,Pawan Hans Helicopters Ltd.,0
mumbai railway vikas corporation (public sector undertaking),Mumbai Railway Vikas Corporation (public sector undertaking),0
landmark pr.dev.co.ltd   ,LANDMARK PR.DEV.CO.LTD   ,1
vesuvius india ltd       ,VESUVIUS INDIA LTD       ,1
rama steel tubes limited ,RAMA STEEL TUBES LIMITED ,1
rana sugars ltd.         ,RANA SUGARS LTD.         ,1
zodiac jrd-mkj ltd       ,ZODIAC JRD-MKJ LTD       ,1
kokuyo camlin limited    ,KOKUYO CAMLIN LIMITED    ,1
solar industries (i) ltd ,SOLAR INDUSTRIES (I) LTD ,1
"aryabhatta research institute of observational-sciences, nanital*","Aryabhatta Research Institute of Observational-Sciences, Nanital*",0
goa carbon limited       ,GOA CARBON LIMITED       ,1
institute of wood science and technology,Institute of Wood Science and Technology,0
jain studios limited     ,JAIN STUDIOS LIMITED     ,1
dfm foods limited        ,DFM FOODS LIMITED        ,1
national institute of open schooling (nios),National Institute of Open Schooling (NIOS),0
precision wires india ltd,PRECISION WIRES INDIA LTD,1
indostar capital fin ltd ,INDOSTAR CAPITAL FIN LTD ,1
bhagyanagar pro ltd      ,BHAGYANAGAR PRO LTD      ,1
aarti industries ltd     ,AARTI INDUSTRIES LTD     ,1
bureau of indian standards (bis),Bureau of Indian Standards (BIS),0
sudarshan chemical inds l,SUDARSHAN CHEMICAL INDS L,1
ramky infra ltd          ,RAMKY INFRA LTD          ,1
foseco india ltd         ,FOSECO INDIA LTD         ,1
(https://www.ncib.in/),(https://www.ncib.in/),0
infibeam avenues limited ,INFIBEAM AVENUES LIMITED ,1
central council for research in unani medicine (ccrum),Central Council for Research in Unani Medicine (CCRUM),0
export inspection agency-mumbai,Export Inspection Agency-Mumbai,0
larsen & toubro ltd.     ,LARSEN & TOUBRO LTD.     ,1
table tennis federation of india (ttfi),Table Tennis Federation of India (TTFI),0
bharat electronics ltd   ,BHARAT ELECTRONICS LTD   ,1
rubber board,Rubber Board,0
"national gallery of modern art, new delhi","National Gallery of Modern Art, New Delhi",0
handicrafts and handlooms export corporation (hhec),Handicrafts and Handlooms Export Corporation (HHEC),0
central government employees consumer cooperative society ltd. (kendriya bhandar),Central Government Employees Consumer Cooperative Society Ltd. (Kendriya Bhandar),0
d b realty limited       ,D B REALTY LIMITED       ,1
national productivity council (npc),National Productivity Council (NPC),0
education and research network (ernet),Education and Research Network (ERNET),0
department of internal security,Department of Internal Security,0
hindustan media vent ltd ,HINDUSTAN MEDIA VENT LTD ,1
inventure gro & sec ltd  ,INVENTURE GRO & SEC LTD  ,1
centre for materials for electronics technology (c-met),Centre for Materials for Electronics Technology (C-MET),0
cil nova petrochem ltd   ,CIL NOVA PETROCHEM LTD   ,1
central electricity authority (cea),Central Electricity Authority (CEA),0
kolte patil dev. ltd.    ,KOLTE PATIL DEV. LTD.    ,1
talbros auto. comp. ltd  ,TALBROS AUTO. COMP. LTD  ,1
committee of parliament on official language,Committee of Parliament on Official Language,0
west zone cultural centre,West Zone Cultural Centre,0
orient bell limited      ,ORIENT BELL LIMITED      ,1
hdfc amc limited         ,HDFC AMC LIMITED         ,1
bharti infratel ltd.     ,BHARTI INFRATEL LTD.     ,1
"atomic energy commission (aec), mumbai, maharashtra","Atomic Energy Commission (AEC), Mumbai, Maharashtra",0
rattanindia power limited,RATTANINDIA POWER LIMITED,1
sangam (india) ltd       ,SANGAM (INDIA) LTD       ,1
appellate tribunal for foreign exchange,Appellate Tribunal for Foreign Exchange,0
"advanced training institute, mumbai","Advanced Training Institute, Mumbai",0
children's film society,Children's Film Society,0
hindustan unilever ltd.  ,HINDUSTAN UNILEVER LTD.  ,1
sun tv network limited   ,SUN TV NETWORK LIMITED   ,1
omkar spl chem ltd       ,OMKAR SPL CHEM LTD       ,1
vimal o & f ltd          ,VIMAL O & F LTD          ,1
chemfab alkalis limited  ,CHEMFAB ALKALIS LIMITED  ,1
arshiya limited          ,ARSHIYA LIMITED          ,1
skm egg prod export(i) lt,SKM EGG PROD EXPORT(I) LT,1
public sector undertakings,Public Sector Undertakings,0
anik industries ltd      ,ANIK INDUSTRIES LTD      ,1
kec intl. limited        ,KEC INTL. LIMITED        ,1
autolite (india) limited ,AUTOLITE (INDIA) LIMITED ,1
tobacco board,Tobacco Board,0
elecon eng. co. ltd      ,ELECON ENG. CO. LTD      ,1
godfrey phillips india lt,GODFREY PHILLIPS INDIA LT,1
national fertilizers limited,National Fertilizers Limited,0
polyplex corporation ltd ,POLYPLEX CORPORATION LTD ,1
ifci ltd                 ,IFCI LTD                 ,1
modi rubber ltd          ,MODI RUBBER LTD          ,1
industrial tribunal,Industrial Tribunal,0
ministry of external affair,Ministry of External Affair,0
"international institute for population sciences (iips), mumbai","International Institute for Population Sciences (IIPS), Mumbai",0
department for promotion of industry and internal trade,Department for Promotion of Industry and Internal Trade,0
university and higher education; minorities education,University and Higher Education; Minorities Education,0
bhartiya international   ,BHARTIYA INTERNATIONAL   ,1
mirc electronics ltd     ,MIRC ELECTRONICS LTD     ,1
ponnie sugars (erode) ltd,PONNIE SUGARS (ERODE) LTD,1
zuari agro chemicals ltd ,ZUARI AGRO CHEMICALS LTD ,1
kendriya vidyalaya sangathan (kvs),Kendriya Vidyalaya Sangathan (KVS),0
indian institute of foreign trade (iift),Indian Institute of Foreign Trade (IIFT),0
ht media limited         ,HT MEDIA LIMITED         ,1
jmc projects (i) ltd.    ,JMC PROJECTS (I) LTD.    ,1
integral coach factory,Integral Coach Factory,0
harrison malayalam ltd   ,HARRISON MALAYALAM LTD   ,1
other statutory bodies,Other Statutory Bodies,0
directorate general of supplies and disposals (dgs&d),Directorate General of Supplies and Disposals (DGS&D),0
tata elxsi limited       ,TATA ELXSI LIMITED       ,1
"master control facility (mcf), hassan.","Master Control Facility (MCF), Hassan.",0
subex limited            ,SUBEX LIMITED            ,1
asian hotels (north) ltd ,ASIAN HOTELS (NORTH) LTD ,1
dic india limited        ,DIC INDIA LIMITED        ,1
krebs biochemicals & ind ,KREBS BIOCHEMICALS & IND ,1
archaeological survey of india (asi),Archaeological Survey of India (ASI),0
oriental carbn & chem ltd,ORIENTAL CARBN & CHEM LTD,1
tata teleserv(maharastra),TATA TELESERV(MAHARASTRA),1
directorate of military intelligence,Directorate of Military Intelligence,0
export promotion councils,Export Promotion Councils,0
3m india limited         ,3M INDIA LIMITED         ,1
anthropological survey of india (ansi),Anthropological Survey of India (AnSI),0
dcm shriram limited      ,DCM SHRIRAM LIMITED      ,1
deepak nitrite ltd       ,DEEPAK NITRITE LTD       ,1
voltamp transformers ltd ,VOLTAMP TRANSFORMERS LTD ,1
k m sugar mills ltd      ,K M SUGAR MILLS LTD      ,1
trent ltd                ,TRENT LTD                ,1
intelligence agencies,Intelligence Agencies,0
ankit met & pow ltd      ,ANKIT MET & POW LTD      ,1
north-eastern space applications centre,North-Eastern Space Applications Centre,0
carborundum universal ltd,CARBORUNDUM UNIVERSAL LTD,1
educomp solutions ltd    ,EDUCOMP SOLUTIONS LTD    ,1
rajesh exports ltd       ,RAJESH EXPORTS LTD       ,1
selan explo. tech ltd    ,SELAN EXPLO. TECH LTD    ,1
gruh finance ltd.        ,GRUH FINANCE LTD.        ,1
premier polyfilm ltd     ,PREMIER POLYFILM LTD     ,1
cmi limited              ,CMI LIMITED              ,1
aksh optifibre limited   ,AKSH OPTIFIBRE LIMITED   ,1
all-india radio monitoring service (airms),All-India Radio Monitoring Service (AIRMS),0
andhra cements limited   ,ANDHRA CEMENTS LIMITED   ,1
tara jewels limited      ,TARA JEWELS LIMITED      ,1
welspun india ltd        ,WELSPUN INDIA LTD        ,1
diligent media corp ltd. ,DILIGENT MEDIA CORP LTD. ,1
21st century mgmt service,21ST CENTURY MGMT SERVICE,1
olectra greentech limited,OLECTRA GREENTECH LIMITED,1
ministry of law and justice,Ministry of Law and Justice,0
hcl technologies ltd     ,HCL TECHNOLOGIES LTD     ,1
kcp ltd                  ,KCP LTD                  ,1
"registrar of companies, india","Registrar of Companies, India",0
national centre for medium range weather forecasting (ncmrwf),National Centre for Medium Range Weather Forecasting (NCMRWF),0
"administrative reform, north eastern region, sc/st/obc","Administrative Reform, North Eastern Region, SC/ST/OBC",0
20 microns ltd           ,20 MICRONS LTD           ,1
power grid corp. ltd.    ,POWER GRID CORP. LTD.    ,1
bajaj finserv ltd.       ,BAJAJ FINSERV LTD.       ,1
pba infrastructure ltd.  ,PBA INFRASTRUCTURE LTD.  ,1
retardation,Retardation,0
aurobindo pharma ltd     ,AUROBINDO PHARMA LTD     ,1
narcotics control bureau,Narcotics Control Bureau,0
"board of radiation & isotope technology (brit), mumbai","Board of Radiation & Isotope Technology (BRIT), Mumbai",0
neuland lab ltd.         ,NEULAND LAB LTD.         ,1
indira gandhi national open university (ignou),Indira Gandhi National Open University (IGNOU),0
department of consumer affairs,Department of Consumer Affairs,0
all india council of technical education (aicte),All India Council of Technical Education (AICTE),0
control print limited    ,CONTROL PRINT LIMITED    ,1
appellate tribunal for forfeited property,Appellate Tribunal for Forfeited Property,0
bandhan bank limited     ,BANDHAN BANK LIMITED     ,1
premier explosives ltd   ,PREMIER EXPLOSIVES LTD   ,1
niraj ispat ind ltd      ,NIRAJ ISPAT IND LTD      ,1
thomas cook (india) ltd  ,THOMAS COOK (INDIA) LTD  ,1
amrutajan health ltd     ,AMRUTAJAN HEALTH LTD     ,1
raj rayon industries ltd ,RAJ RAYON INDUSTRIES LTD ,1
ccs national institute of agricultural marketing (ccs niam)*,CCS National Institute of Agricultural Marketing (CCS NIAM)*,0
central wakf council,Central Wakf Council,0
ipca laboratories ltd    ,IPCA LABORATORIES LTD    ,1
zicom elect sec sys ltd  ,ZICOM ELECT SEC SYS LTD  ,1
national highways and infrastructure development corporation limited (nhidcl),National Highways and Infrastructure Development Corporation Limited (NHIDCL),0
bharat heavy electricals,Bharat Heavy Electricals,0
caplin point lab ltd.    ,CAPLIN POINT LAB LTD.    ,1
r sys international ltd  ,R SYS INTERNATIONAL LTD  ,1
customs excise and service tax appellate tribunal (cestat),Customs Excise and Service tax Appellate Tribunal (CESTAT),0
godrej agrovet limited   ,GODREJ AGROVET LIMITED   ,1
avadh sug & energy ltd   ,AVADH SUG & ENERGY LTD   ,1
justdial ltd.            ,JUSTDIAL LTD.            ,1
cochin shipyard limited  ,COCHIN SHIPYARD LIMITED  ,1
commission of railway safety,Commission of Railway Safety,0
rehabilitation plantations limited (rpl),Rehabilitation Plantations Limited (RPL),0
universities,Universities,0
ministry of science & technology,Ministry of Science & Technology,0
press council of india,Press Council of India,0
3 school of planning and architecture (spas),3 School of Planning and Architecture (SPAs),0
national research laboratory for conservation of cultural property (nrlc),National Research Laboratory for Conservation of Cultural Property (NRLC),0
tube invest of india ltd ,TUBE INVEST OF INDIA LTD ,1
indian railways,Indian Railways,0
nocil limited            ,NOCIL LIMITED            ,1
bombay textile research association (btra),Bombay Textile Research Association (BTRA),0
oil and natural gas corp.,OIL AND NATURAL GAS CORP.,1
greenlam industries ltd. ,GREENLAM INDUSTRIES LTD. ,1
"zoological survey of india (zsi), kolkata","Zoological Survey of India (ZSI), Kolkata",0
glaxosmithkline pharma lt,GLAXOSMITHKLINE PHARMA LT,1
hexaware technologies ltd,HEXAWARE TECHNOLOGIES LTD,1
indian patent office,Indian Patent Office,0
transport corpn of india ,TRANSPORT CORPN OF INDIA ,1
directorate general of anti-evasion,Directorate General of Anti-Evasion,0
national aids control organisation (naco),National AIDS Control Organisation (NACO),0
acc limited              ,ACC LIMITED              ,1
tata chemicals ltd       ,TATA CHEMICALS LTD       ,1
central electronics limited,Central Electronics Limited,0
majesco limited          ,MAJESCO LIMITED          ,1
galaxy surfactants ltd   ,GALAXY SURFACTANTS LTD   ,1
cotton corporation of india ltd. (cci),Cotton Corporation of India Ltd. (CCI),0
munjal auto ind. ltd.    ,MUNJAL AUTO IND. LTD.    ,1
maharashtra scooters ltd ,MAHARASHTRA SCOOTERS LTD ,1
thomas scott (india) ltd ,THOMAS SCOTT (INDIA) LTD ,1
suryalakshmi cot mil ltd ,SURYALAKSHMI COT MIL LTD ,1
the byke hospitality ltd ,THE BYKE HOSPITALITY LTD ,1
regional institute of correctional administration (rica),Regional Institute of Correctional Administration (RICA),0
au small finance bank ltd,AU SMALL FINANCE BANK LTD,1
d.b.corp ltd             ,D.B.CORP LTD             ,1
knr constru ltd.         ,KNR CONSTRU LTD.         ,1
visesh infotecnics ltd   ,VISESH INFOTECNICS LTD   ,1
"indian institute of remote sensing (iirs), dehradun.","Indian Institute of Remote Sensing (IIRS), Dehradun.",0
coromandel interntl. ltd ,COROMANDEL INTERNTL. LTD ,1
ministry of earth sciences,Ministry of Earth Sciences,0
bang overseas ltd.       ,BANG OVERSEAS LTD.       ,1
karuturi global limited  ,KARUTURI GLOBAL LIMITED  ,1
la opala rg limited      ,LA OPALA RG LIMITED      ,1
gem and jewellery export promotion council (gjepc),Gem and Jewellery Export Promotion Council (GJEPC),0
vardhaman acrylics ltd   ,VARDHAMAN ACRYLICS LTD   ,1
gocl corporation limited ,GOCL CORPORATION LIMITED ,1
western regional power committee (wrpc),Western Regional Power Committee (WRPC),0
titagarh wagons ltd.     ,TITAGARH WAGONS LTD.     ,1
department of criminal intelligence (internal/criminal investigation),Department of Criminal Intelligence (Internal/Criminal Investigation),0
ashapura minechem ltd    ,ASHAPURA MINECHEM LTD    ,1
mahindra lifespace devltd,MAHINDRA LIFESPACE DEVLTD,1
weizmann ltd             ,WEIZMANN LTD             ,1
aided sector,Aided Sector,0
jm financial limited     ,JM FINANCIAL LIMITED     ,1
brightcom group limited  ,BRIGHTCOM GROUP LIMITED  ,1
surana solar limited     ,SURANA SOLAR LIMITED     ,1
unitech limited          ,UNITECH LIMITED          ,1
central hindi training institute,Central Hindi Training Institute,0
(http://www.nrdcindia.com/),(http://www.nrdcindia.com/),0
national security guard,National Security Guard,0
g m breweries ltd        ,G M BREWERIES LTD        ,1
jagsonpal pharmaceuticals,JAGSONPAL PHARMACEUTICALS,1
deepak fertilizers & petr,DEEPAK FERTILIZERS & PETR,1
project exports promotion council of india (pepc),Project Exports Promotion Council of India (PEPC),0
maulana abul kalam azad institute of asian studies (makaias),Maulana Abul Kalam Azad Institute of Asian Studies (MAKAIAS),0
department of posts,Department of Posts,0
arcotech limited         ,ARCOTECH LIMITED         ,1
cineline india limited   ,CINELINE INDIA LIMITED   ,1
steel exchange india ltd ,STEEL EXCHANGE INDIA LTD ,1
balaji telefilms limited.,BALAJI TELEFILMS LIMITED.,1
shyam telecom limited    ,SHYAM TELECOM LIMITED    ,1
raj tv network ltd       ,RAJ TV NETWORK LTD       ,1
directorate general of commercial intelligence and statistics (dgci&s),Directorate General of Commercial Intelligence and Statistics (DGCI&S),0
malu paper mills limited ,MALU PAPER MILLS LIMITED ,1
india meteorological department (imd),India Meteorological Department (IMD),0
appellate tribunal,Appellate Tribunal,0
sports goods export promotion council (sgepc),Sports Goods Export Promotion Council (SGEPC),0
jsw energy limited       ,JSW ENERGY LIMITED       ,1
"electronics corporation of india (ecil), hyderabad","Electronics Corporation of India (ECIL), Hyderabad",0
"statistics, annual plan and cmis","Statistics, Annual Plan and CMIS",0
broadcast engineering consultants india limited (public sector undertaking),Broadcast Engineering Consultants India Limited (public sector undertaking),0
petronet lng limited     ,PETRONET LNG LIMITED     ,1
aries agro ltd.          ,ARIES AGRO LTD.          ,1
havells india limited    ,HAVELLS INDIA LIMITED    ,1
sun pharmaceutical ind l ,SUN PHARMACEUTICAL IND L ,1
"saha institute of nuclear physics (sinp), kolkata","Saha Institute of Nuclear Physics (SINP), Kolkata",0
petroleum and explosives safety organisation,Petroleum and Explosives Safety Organisation,0
metalyst forgings limited,METALYST FORGINGS LIMITED,1
hester biosciences ltd   ,HESTER BIOSCIENCES LTD   ,1
4 national institutes of technical teachers' training & research (nitttrs)[7],4 National Institutes of Technical Teachers' Training & Research (NITTTRs)[7],0
xpro india limited       ,XPRO INDIA LIMITED       ,1
southern regional power committee,Southern Regional Power Committee,0
tarmat limited           ,TARMAT LIMITED           ,1
rane brake lining ltd    ,RANE BRAKE LINING LTD    ,1
lt foods limited         ,LT FOODS LIMITED         ,1
the tinplate co. (i) ltd ,THE TINPLATE CO. (I) LTD ,1
khaitan (india)ltd.      ,KHAITAN (INDIA)LTD.      ,1
commissions,Commissions,0
exide industries ltd     ,EXIDE INDUSTRIES LTD     ,1
kiri industries limited  ,KIRI INDUSTRIES LIMITED  ,1
directorate general of civil aviation,Directorate General of Civil Aviation,0
8k miles soft serv ltd   ,8K MILES SOFT SERV LTD   ,1
nrb bearing limited      ,NRB BEARING LIMITED      ,1
shemaroo enter. ltd.     ,SHEMAROO ENTER. LTD.     ,1
rail wheel factory,Rail Wheel Factory,0
assam rifles,Assam Rifles,0
mineral exploration corporation limited (mecl),Mineral Exploration Corporation Limited (MECL),0
palash securities ltd    ,PALASH SECURITIES LTD    ,1
parag milk foods ltd.    ,PARAG MILK FOODS LTD.    ,1
hdfc life ins co ltd     ,HDFC LIFE INS CO LTD     ,1
xchanging solutions ltd  ,XCHANGING SOLUTIONS LTD  ,1
"isro satellite centre (isac), bangalore.","ISRO Satellite Centre (ISAC), Bangalore.",0
basketball federation of india,Basketball Federation of India,0
arss infra proj. ltd     ,ARSS INFRA PROJ. LTD     ,1
celebrity fashions ltd   ,CELEBRITY FASHIONS LTD   ,1
kalpataru power trans. lt,KALPATARU POWER TRANS. LT,1
bhagyanagar india limited,BHAGYANAGAR INDIA LIMITED,1
cummins india ltd        ,CUMMINS INDIA LTD        ,1
[2],[2],0
manak aluminium co. ltd. ,MANAK ALUMINIUM CO. LTD. ,1
kitex garments ltd       ,KITEX GARMENTS LTD       ,1
aavas financiers limited ,AAVAS FINANCIERS LIMITED ,1
tijaria polypipes ltd    ,TIJARIA POLYPIPES LTD    ,1
indian statistical institute (isi),Indian Statistical Institute (ISI),0
todays writing instrument,TODAYS WRITING INSTRUMENT,1
jindal worldwide ltd     ,JINDAL WORLDWIDE LTD     ,1
judo federation of india,Judo Federation of India,0
bhandari hosiery exp ltd ,BHANDARI HOSIERY EXP LTD ,1
filatex india ltd        ,FILATEX INDIA LTD        ,1
jindal stainless limited ,JINDAL STAINLESS LIMITED ,1
simplex infrastructures l,SIMPLEX INFRASTRUCTURES L,1
bkm industries limited   ,BKM INDUSTRIES LIMITED   ,1
ministry of skill development and entrepreneurship,Ministry of Skill Development and Entrepreneurship,0
kiocl limited            ,KIOCL LIMITED            ,1
honda siel power prod ltd,HONDA SIEL POWER PROD LTD,1
super spinning mills ltd ,SUPER SPINNING MILLS LTD ,1
soril infra resources ltd,SORIL INFRA RESOURCES LTD,1
redington (india) ltd.   ,REDINGTON (INDIA) LTD.   ,1
national ganga river basin authority,National Ganga River Basin Authority,0
orchid pharma limited    ,ORCHID PHARMA LIMITED    ,1
the ramco cements limited,THE RAMCO CEMENTS LIMITED,1
poddar pigments limited  ,PODDAR PIGMENTS LIMITED  ,1
mahanagar gas ltd.       ,MAHANAGAR GAS LTD.       ,1
department of disinvestment,Department of Disinvestment,0
publications division,Publications Division,0
film certification appellate tribunal,Film Certification Appellate Tribunal,0
"tata memorial centre, mumbai","Tata Memorial Centre, Mumbai",0
repco home finance ltd   ,REPCO HOME FINANCE LTD   ,1
special economic zones,Special Economic Zones,0
vmart retail ltd         ,VMART RETAIL LTD         ,1
prime securities limited ,PRIME SECURITIES LIMITED ,1
dcb bank limited         ,DCB BANK LIMITED         ,1
v-guard ind ltd.         ,V-GUARD IND LTD.         ,1
border security force,Border Security Force,0
goodluck india limited   ,GOODLUCK INDIA LIMITED   ,1
"indian languages (ciil), mysore","Indian Languages (CIIL), Mysore",0
andaman & nicobar islands forest and plantation development corporation (public sector,Andaman & Nicobar Islands Forest and Plantation Development Corporation (Public Sector,0
himachal fut com ltd     ,HIMACHAL FUT COM LTD     ,1
axiscades engg tech ltd  ,AXISCADES ENGG TECH LTD  ,1
gokaldas exports ltd.    ,GOKALDAS EXPORTS LTD.    ,1
jayshree tea & industries,JAYSHREE TEA & INDUSTRIES,1
jump rope federation of india (jrfi),Jump Rope Federation of India (JRFI),0
"indian institute of astrophysics, bangalore*","Indian Institute of Astrophysics, Bangalore*",0
"bureau of immigration, india","Bureau of Immigration, India",0
excel crop care ltd      ,EXCEL CROP CARE LTD      ,1
bureaus,Bureaus,0
employees' provident fund organisation,Employees' Provident Fund Organisation,0
office of the chief administrative officer,Office of the Chief Administrative Officer,0
parsvnath developer ltd  ,PARSVNATH DEVELOPER LTD  ,1
advani hot.& res.(i) ltd ,ADVANI HOT.& RES.(I) LTD ,1
national textile corporation ltd. (ntc),National Textile Corporation Ltd. (NTC),0
karma energy limited     ,KARMA ENERGY LIMITED     ,1
avenue supermarts limited,AVENUE SUPERMARTS LIMITED,1
"vikram sarabhai space centre (vssc), thiruvananthapuram.","Vikram Sarabhai Space Centre (VSSC), Thiruvananthapuram.",0
kesar enterprises ltd.   ,KESAR ENTERPRISES LTD.   ,1
"national institute of health and family welfare (nihfw), south delhi","National Institute of Health and Family Welfare (NIHFW), South Delhi",0
nagarjun fert and che ltd,NAGARJUN FERT AND CHE LTD,1
labour bureau (labour statistics),Labour Bureau (labour statistics),0
apollo tyres ltd         ,APOLLO TYRES LTD         ,1
tata power co ltd        ,TATA POWER CO LTD        ,1
"national institute of ocean technology (niot), chennai","National Institute of Ocean Technology (NIOT), Chennai",0
maan aluminium limited   ,MAAN ALUMINIUM LIMITED   ,1
